CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount
22779,Bunny Bubble Bar,,,997,Lush Ltd,Bunny Bubble Bar,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,34532,Titanium dioxide,04/10/2014,04/10/2014,,04/10/2014,04/10/2014,,1
22779,Bunny Bubble Bar,,,997,Lush Ltd,Bunny Bubble Bar,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,34533,Titanium dioxide,04/10/2014,04/10/2014,,04/10/2014,04/10/2014,04/10/2014,1
22781,Carrot Soap,,,997,Lush Ltd,Carrot Soap,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,34535,Titanium dioxide,04/10/2014,04/10/2014,,04/10/2014,04/10/2014,,1
22781,Carrot Soap,,,997,Lush Ltd,Carrot Soap,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,34536,Titanium dioxide,04/10/2014,04/10/2014,,04/10/2014,04/10/2014,,1
22919,Rose Bubble Bar,,,997,Lush Ltd,Lush,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,34858,Titanium dioxide,05/21/2014,05/21/2014,,05/21/2014,06/05/2014,,1
22943,Wonder Woohoo,,,997,Lush Ltd,Lush,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,34882,Titanium dioxide,06/05/2014,06/05/2014,,06/05/2014,06/05/2014,,1
23146,D'Fluff shaving soap,,,997,Lush Ltd,Lush,82,Shaving Products,86,Shaving Cream and other Beard Softeners,656,13463-67-7,35194,Titanium dioxide,07/29/2014,07/29/2014,,07/29/2014,07/29/2014,,1
23147,Parsley Porridge,,,997,Lush Ltd,Lush,74,Personal Care Products,81,Other Personal Care Product ,656,13463-67-7,35195,Titanium dioxide,07/29/2014,07/29/2014,,07/29/2014,07/29/2014,,1
23956,Fairy Ring,,,997,Lush Ltd,Lush,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,36857,Titanium dioxide,10/31/2014,10/31/2014,,10/31/2014,10/31/2014,,1
23957,Wizard,,,997,Lush Ltd,Lush,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,36908,Titanium dioxide,10/31/2014,11/04/2014,,11/04/2014,11/04/2014,,1
23970,Northen Lights,,,997,Lush Ltd,Lush ,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,36909,Titanium dioxide,11/04/2014,11/04/2014,,11/04/2014,11/04/2014,,1
24157,Candy Mountain,,,997,Lush Ltd,Lush,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,37299,Titanium dioxide,12/12/2014,12/09/2016,,12/12/2014,12/09/2016,,1
24160,Dashing Santa,,,997,Lush Ltd,l,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,37301,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24161,First Snow Sparkling,,,997,Lush Ltd,Lush,90,Skin Care Products ,98,"Powders (excluding aftershave, baby powder, and makeup face powder)",656,13463-67-7,37302,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24163,Fun - Gold,,,997,Lush Ltd,Lush,18,Hair Care Products (non-coloring),25,Hair Shampoos (making a cosmetic claim) ,656,13463-67-7,37313,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24163,Fun - Gold,,,997,Lush Ltd,Lush,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,37313,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24176,Fun-Snowman,,,997,Lush Ltd,Lush,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,37317,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24187,Golden Wonder,,,997,Lush Ltd,Lush Manufacturing Ltd,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,37330,Titanium dioxide,12/12/2014,10/26/2018,,12/12/2014,10/26/2018,,1
24190,Holly Golightly,,,997,Lush Ltd,lush,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,37331,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24191,Santa Baby Lip Tint,,,997,Lush Ltd,lush,44,Makeup Products (non-permanent),51,Lip Balm (making a cosmetic claim),656,13463-67-7,37334,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24195,Santa's Lip Scrub,,,997,Lush Ltd,Lush,44,Makeup Products (non-permanent),51,Lip Balm (making a cosmetic claim),656,13463-67-7,37336,Titanium dioxide,12/12/2014,12/12/2014,,12/12/2014,12/12/2014,,1
24216,Shoot for the Stars,,,997,Lush Ltd,Lush,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,37360,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
24217,Snow Angel,,,997,Lush Ltd,Lush,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,37361,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
24218,Snow Fairy 100ml,,,997,Lush Ltd,Lush,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,37363,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
24223,Snow Fairy 250ml,,,997,Lush Ltd,Lush,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,37367,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
24225,Snow Fairy 500ml,,,997,Lush Ltd,Lush ,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,37368,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
24243,Snow Fairy Sparkle,,,997,Lush Ltd,Lush,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,13463-67-7,37403,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
24244,Baked Alaska Soap 100g,,,997,Lush Ltd,Lush ,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,37404,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
24245,Baked Alaska,,,997,Lush Ltd,Lush,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,37405,Titanium dioxide,12/15/2014,12/15/2014,,12/15/2014,12/15/2014,,1
